Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips for Influencing Those More Senior Than You with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, highlights effective ways to influence up. Increase your powers of persuasion by learning steps to prepare and align your goals with the goals of the leader you need to influence, proactive strategies for gaining buy-in, how to navigate disagreements, and how to manage the dynamics of your conversation.",Course,2025-10-01 05:01 UTC,N/A,false,N/A,
Excel: Introduction to Charts and Graphs,"Learn the basics of Excel charts and graphs in this concise course. Excel expert Dennis Taylor begins by explaining Excel chart concepts, including identifying the different elements of a chart and choosing the right chart type. Next, Dennis walks through creating a basic chart, using the Recommended Charts feature and keyboard shortcuts to get the job done quickly. Dennis then covers formatting charts with styles, colors, and more. Finally, he steps through the most popular chart options: column, bar, and line charts. Note that this course is recorded in Excel for Microsoft 365 but anyone using a recent version—including Office 365, 2019, 2016, and 2013—will be able to follow along.",Course,2025-10-25 12:14 UTC,N/A,true,N/A,
"Leveraging AI for Governance, Risk, and Compliance","AI is one of the biggest topics in cybersecurity right now, and unsurprisingly, that includes the area of governance, risk, and compliance. In this course, cybersecurity manager Terra Cooke explores risk management, legal considerations, and other ways AI can integrate into a GRC environment. Terra covers different aspects of GRC work that could benefit from AI–while keeping in mind that it is not a fix-all solution for all problems. She analyzes roles, responsibilities, and the pros and cons to consider before moving forward with AI solutions. Plus, hear about the factors you should look into before agreeing to the terms and conditions of an AI program.",Course,2025-10-20 07:30 UTC,N/A,false,N/A,
Enhancing Images with Artificial Intelligence (AI),"The use of artificial intelligence is fundamentally changing the way that photos are edited and enhanced. New creative options are unlocked and previously impossible tasks are made easy. Don’t wait to harness the power of artificial intelligence. Join instructor Rich Harrington as he explores a variety of AI-powered apps that can take your photography to the next level. Learn how to get better results from raw files, find images with intelligent search tools, and use software from Adobe, Skylum, EyeQ, and Topaz Labs to perform common and uncommon editing tasks, from fixing color and tone to automatically enhancing portraits to adding color and detail that doesn’t exist in the original photograph. By the end of the course, you’ll be amazed and empowered by what you can do with AI.<br><br>

This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2025-10-15 21:13 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Transportation Problems,"<p>Microsoft Excel can be a secret advantage when it comes to solving complex supply chain challenges. Follow along with instructor Curt Frye as he shows how to use the Excel Solver add-in to minimize transportation and transshipment costs within a supply chain. Curt covers a range of topics, including how to analyze fixed costs and facility opening decisions, enforce level of service constraints, and perform scenario analysis. He also provides problem scenarios for you to solve, then goes through the solutions for each. After watching this course and working through the examples, you'll be able to describe the techniques specialized supply chain programs use to arrive at their results.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2026-03-03 09:49 UTC,N/A,false,N/A,
Transforming Business with AI Agents: Autonomous Efficiency and Decision-Making,"Unlock the power of AI agents to revolutionize your business. In this course, best-selling author and thought leader Charlene Li delves into the ever-evolving landscape of AI, providing a clear, comprehensive introduction to autonomous, adaptive AI agents. You’ll learn how to define and identify AI agents and how they differ from other AI products. Charlene outlines AI agents’ potential to boost productivity and enhance decision-making, as well as how agents can automate complex workflows. Along the way, explore the critical challenges of trust, privacy, common ethical concerns, and key considerations for evaluating the use of AI agents in your organization.",Course,2025-11-04 09:02 UTC,N/A,false,N/A,
Generative AI UX Design with Uizard,"In this course, seasoned product leader Drew Falkman highlights the power of Uizard AI features in creating user interfaces swiftly and efficiently. Uncover the ability to generate complete designs from AI prompts, simple wireframes, sketches, or screenshots. Learn how to make your prototypes interactive, apply cohesive design themes across projects, and export your work for further development. Key topics include automating design tasks, creating reusable components, and using AI to enhance creativity. Learn how to leverage AI tools to streamline the design and prototyping process, giving you more time to focus on innovation. This course covers both foundational and advanced techniques, making it suitable for beginners and experienced professionals alike. Gain a competitive edge by mastering AI-enhanced design, ensuring your projects are both efficient and aesthetically engaging.",Course,2025-10-15 21:13 UTC,N/A,false,N/A,
Adobe Firefly Essential Training (2024),"<p>Generative AI is taking the world by storm, and Adobe has offered their own answer to the artificial intelligence revolution—Adobe Firefly. This family of generative AI models equips you with the potential to revolutionize your design skills and elevate your creative projects to unprecedented heights. In this course, join lifelong designer Bart Van de Wiele as he teaches you how to use Adobe Firefly to upgrade how you work as a designer, marketer, photographer, brand manager, or video producer.</p><p>Gain an understanding of how Firefly fits into the greater Creative Cloud ecosystem. Learn how to write effective Firefly text prompts for generating high-quality images and vector art; create and recolor your artwork using Firefly and Illustrator; use Generative Fill in Photoshop to replace portions of an image with just a few mouse clicks and a text prompt; and work with text effects and templates with Firefly and Adobe Express. Bart also explains why content credentials matter in a world of AI-generated images.</p>",Course,2025-10-15 21:13 UTC,N/A,false,N/A,
Using AI in the UX Design Process,"<p>If you’re a UX designer or researcher, you’re probably already wondering about the best way to adapt to the new wave of AI-powered tools and workflows. In this course, UX expert Tetiana Gulei shows you how to take a basic design and apply AI to it to streamline the design process and improve your outcomes along the way.</p><p>Learn how to use generative AI to assist in product discovery and ideation, such as analyzing user data, creating personas, storyboarding, idea generation, and more. Find out how AI can extend the visual design process when it comes to creating mood boards, generating images, and working with colors, fonts, and styles. By the end of this course, you’ll be prepared to start using cutting-edge generative AI tools to streamline your design process, from initial user research to product creation, while also contributing to long-term design strategy validation.</p>",Course,2025-10-15 21:12 UTC,N/A,false,N/A,
Critical Roles Consultants Play (and the Skills You Need to Fill Them),"New consultants are often surprised by how agile they need to be to fulfill client expectations. The role you play may vary from contract to contract, or even shift within the same engagement. This course helps prepare you for the many different roles a consultant must play and succeed in the challenging world of consulting. Bob McGannon explains how your role differs from your job and how you can assess the needs of your client right at the start of the engagement. He then reviews the seven major roles—technical expert, manager, team leader, follower, reviewer, critic, and implementer—explaining when each role is most useful to your client. Live-action scenarios help you see the roles in action and apply what you have learned. In the final chapter, Bob discusses how to close the engagement, emphasizing the value your role has provided in order to position yourself for the next one.",Course,2025-10-22 07:42 UTC,N/A,true,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-09-04 09:51 UTC,N/A,false,N/A,
Excel: Supply Chain Shipping Analysis,"Microsoft Excel is one of the world’s most widely used spreadsheet applications, and for good reason. It’s an essential everyday tool if you work in logistics and shipping, or are interested in landing a role in the field. In this course, instructor Curt Frye covers advanced Excel skills for performing supply chain shipping analysis, including shipping modes and costs, logistics and transportation networks, distribution, inventory management, route creation and evaluation with the Solver model, and more. By the end of this course, you’ll be prepared to evaluate complex shipping scenarios to make informed data-driven business decisions.",Course,2026-03-24 06:26 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2025-04-21 20:54 UTC,N/A,false,N/A,
Photoshop 2023 Essential Training,"Whether you’re an experienced creative professional or just looking to make the most out of your new camera, learning how to use Photoshop 2023 efficiently and effectively is the best investment you can make to get the most out of your pixels. Photoshop is a deep, complex, and at times, intimidating product. In this course, instructor Julieanne Kost filters out the noise and complexity to help you quickly achieve the results you want.<br><br>Julieanne covers the fundamentals of digital imaging—from working with multiple images to customizing the Photoshop interface. She explains how to choose the right tools to crop, tone, and retouch photos, while always maintaining the highest-quality output. She also demonstrates the most efficient ways to perform common tasks, including working with layers, selections, and masking. Along the way, learn the secrets of nondestructive editing using Smart Objects, how to create animated GIFs, and much more.",Course,2023-11-13 16:33 UTC,N/A,false,N/A,
Nano Tips for Effortless Conversations with Shadé Zahrai and Jefferson Fisher,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to cultivate and sustain effortless conversations, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance educator Dr. Shadé Zahrai, and trial attorney, best-selling author, and globally recognized communication expert Jefferson Fisher. Shadé and Jefferson offer tips for confidently responding to common questions, recovering from awkward moments, engaging in small talk, and more. Along the way, discover techniques to build trust, maintain balanced conversations, use nonverbal cues, navigate silences, and stay fully present. By the end of this course, you’ll have the confidence and ease to turn everyday conversations into opportunities for stronger connection and influence.</p><p>This course was created by Shadé Zahrai and Jefferson Fisher. We are pleased to host this training in our library.</p>",Course,2025-10-27 15:23 UTC,N/A,false,N/A,
Nano Tips for Understanding Your Analytics with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, join award-winning leadership strategist and peak performance specialist Shadé Zahrai as she shares practical, actionable advice on leveraging the power of LinkedIn Analytics.</p><p>Learn how to use LinkedIn Analytics to develop data-driven strategies to analyze audience trends, refine messaging, and optimize content, ensuring impactful engagement and meaningful connections with your followers. Shadé shows you how and why applying data-driven insights can let you more effectively plan future posts, troubleshoot underperforming content, build lasting relationships with your audience, and more. By the end of this course, you’ll be prepared to create with more intentionality, instead of just chasing virality or feeling like analytics is guesswork.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-30 11:03 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2025-10-15 12:11 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Kat Norton,"Miss Excel shares advanced Excel techniques to analyze, organize, and visualize data more effectively. Learners will develop skills in using pivot tables, dynamic formatting, data validation, and VBA scripting to automate tasks and create interactive, professional spreadsheets. By the end, learners will be able to streamline workflows and present data clearly for better insights and decision-making.",Course,2026-05-01 07:44 UTC,N/A,false,N/A,
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2025-11-01 22:49 UTC,N/A,false,N/A,
Nano Tips to Prepare for Public Speaking with Nausheen I. Chen,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore proven, practical, easy-to-use strategies to successfully prepare for public speaking—whether you’re getting ready to speak on a big stage or deliver your next presentation in the boardroom. Follow along with expert advice from executive speaking coach, corporate trainer, and TEDx speaker Nausheen I. Chen.</p><p>Discover the secrets of effective preparation—from ideation and practice to final delivery. Learn how to think critically about what you say and how you say it so you can focus on saying it right. Gather insights on vocal warmups, body language, fear of the audience, common misunderstandings, making a great first impression, nailing a job interview, and more. Along the way, Nausheen shows you how to turn up your energy and leverage your most powerful, impactful self. By the end of this course, you’ll be prepared to fully engage your audience and unlock new opportunities in your career.</p>",Course,2025-10-19 03:21 UTC,N/A,false,N/A,
